NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""FreeBusy""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""eM Client""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Classkick App for Zoom""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Catchup""","[""team-collaborations"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""17hats""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""JobScore""","[""human-resources""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""SubOps""","[""analytics""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Insightly Activity Connector""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Remote Browser - Web co-browsing""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""CalendarHero - Account-Level""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Live2Coursera""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Team Drive for Zoom""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CalendarBridge""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""TimeZest""","[""customer-service""]","""Settings""","""Profile & Contact Information""",,,
"""Listener""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LindyLive""","[""education"",""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Classonlive""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Arrangr""","[""scheduling-calendar""]","""Profile & Contact Information""",,,,
"""SkillsInCloud""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""bookrun""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""IB Live""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""zarezerwuj.pl""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""GoReact""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Epoch App""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Probooking""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Oxford Abstracts""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Better Clinics""","[""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Mayday""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Xplan""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""GENIAT-VIDEOCLASS""","[""education"",""learning-development""]",,,,,
"""Vbrick Rev - North America""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MEETUS""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Robin""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""MiiTel for Zoom""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Synappx Meeting""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""BookingHound""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Trial - Time Intelligence for Zoom""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Powow""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Yac Meet""","[""scheduling-calendar""]",,,,,
"""walden-chat-client""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Smartway2 for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Glasscubes""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Sparq Meetings""","[""team-collaborations""]",,,,,
"""Blocksi Class meetings""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Relecture""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""KalendarPro""","[""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Taskeo""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""SmartJen""","[""education"",""learning-development""]",,,,,
"""Vidyard - Secure Video Hosting""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Edcord""","[""education"",""learning-development""]",,,,,
"""Comtura""","[""productivity"",""recording-transcriptions"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Time Intelligence for Zoom""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""entrenar.se""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AttendanceKit for Schools""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""bver app""","[""analytics"",""learning-development"",""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Questroom Calendar""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Deepagent""","[""analytics""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""QBSkool""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Squiz Connect""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Judicial Innovations""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""",,,
"""Neighbeerly""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Lemonade""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""socionity builder""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Murmur""","[""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""iSAR""","[""human-resources""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""chicheck""","[""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Atlas One Co-Pilot""","[""human-resources"",""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TealOne Meetings""","[""productivity""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Ruzuku""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TheLegalAssistant""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Otter.ai Live Notes for Zoom""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Workato""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Zapier""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""InterviewPlanner""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Searchie""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Teamplify""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Chili Piper""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Spivi Scheduler Connector""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Skilljar Customer Training Platform""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SnapHomework""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""EVIGarten""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Memory""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Superhuman""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Street Academy""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ethena""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""Breezy HR""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""NextPatient""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""American Income Life""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""Phreesia""","[""health-care"",""health-wellness""]",,,,,
"""Glia - Americas""","[""customer-service""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""amoCRM""","[""crm""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Hugo""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Emergency Call Notifications""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""Telegram""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Okta Preview Workflows""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""",,,
"""OfferingTree""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""3Play Media""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""JazzHR""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Classting""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""amptalk""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Swit""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Voyce""","[""health-care"",""transcription-translation""]","""Profile & Contact Information""",,,,
"""Zoho Backstage""","[""eventmanagement""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""LIVEKLASS""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""OneStream Live""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Opsgenie EU""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Actionable Meetings by Wrike""","[""health-care"",""productivity"",""recording-transcriptions"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Groundhogg""","[""crm"",""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Simply Schedule Appointments""","[""marketing"",""productivity"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Reportcard""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TimeKit""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Utobo""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""MemberLeap""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""NonProfitEasy""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Nomad Gate Webinars""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Polymail""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""WhatTIme""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Docket - Zoom Calendar Management""","[""productivity""]",,,,,
"""Clipwise""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""NFT / Token Gated Access by Lit Protocol""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Yobi""","[""customer-service"",""social-activities"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Filo""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Librato Notifications""","[""analytics""]","""Settings""","""Profile & Contact Information""",,,
"""Drift Video""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Beekast""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CalendarHero Webinar""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""RapidFunnel""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""EasyCalendar""","[""scheduling-calendar""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""eM Client for Microsoft Store""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""SureWillWriter""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""PanelSheet for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Boostlingo Account""","[""health-care"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Game Plan App""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SmartChousei""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MISA EMIS eLearning""","[""customer-service"",""education""]",,,,,
"""viCalendar""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Booka""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""eClass John Robert Powers""","[""health-care"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zonka Feedback""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Redink""","[""learning-development""]",,,,,
"""Papillon""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Savetime""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""JustClick.Ru""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MIMIRX""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Qmeet""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""AEP""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Magnolia""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Careerz Education and Management""","[""education"",""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Vivoh Multicast App""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""bulbulbuy""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Alto Fitness""","[""health-care"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CalendarAnything Integration""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""Edlantic""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Codimite Archiver for Zoom Phone""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""",,,
"""Bldschool""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nectar 10 - EU""","[""analytics"",""content-and-compliance""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Conference instaApp for Zoom""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Sensei matching""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Humanly""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TheIncubatorPro""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Eventize""","[""education"",""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""bookee""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Adaptive Shield""","[""content-and-compliance""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""Fantastical for Mac""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Microsoft Teams""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Marketo""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Colibri""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LangLion""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Schoolrunner""","[""analytics"",""education""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""waaq Link""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pipedream""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Coda""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""BINGO! for Zoom""","[""education"",""games""]","""Settings""","""Profile & Contact Information""",,,
"""Rewatch""","[""recording-transcriptions""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Appointlet""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""APIANT""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Smarsh for Phone""","[""content-and-compliance""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""Nifty""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""CORE""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SurveyMonkey""","[""productivity"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TalentLMS""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Paradox Olivia""","[""scheduling-calendar""]",,,,,
"""Qudini""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Tixoom ticketing - an alternative to Eventbrite""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""eeasy for Administrators""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Clinikpro""","[""crm"",""health-care""]",,,,,
"""Lawmatics""","[""crm""]",,,,,
"""Activity Messenger""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cal.com""","[""scheduling-calendar""]",,,,,
"""ClassBug""","[""education"",""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Wooclap""","[""education"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Brightcove Live Connect""","[""marketing""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""PandaDoc""","[""productivity"",""sales-automation"",""team-collaborations""]","""Product Usage""",,,,
"""Virtually""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""EZLEARN""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Opsgenie""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Coaching Loft""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Reduct.Video""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ease Attendance""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""OneFitStop""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Agendalo""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Calenso""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""ShareStream""","[""education"",""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Doculife - Life, organized.""","[""productivity"",""social-activities"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""VitalLink""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Approved Contact""","[""scheduling-calendar""]",,,,,
"""Debrief for Zoom""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Unique App""","[""education"",""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""PixelMixer Link""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ocelot""","[""customer-service"",""education""]","""Settings""","""Profile & Contact Information""",,,
"""ScheduleHouse""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Indifit.co""","[""learning-development"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Macmillan Education""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Snackable AI""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Outreach Kaia for Zoom Admins""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""SPRNG Scheduling""","[""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Transloadit""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Startdeliver""","[""customer-service""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""WealthBlock Offering Meetings""","[""eCommerce""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Modern Hire - UAT""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""MATE Integration""","[""marketing""]","""Settings""","""Profile & Contact Information""",,,
"""Member Integrity System""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""silverdo""","[""scheduling-calendar""]",,,,,
"""Smarsh for Chat""","[""content-and-compliance""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Makesweat.com""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Gameroom""","[""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Video meeting for Qboxmail""","[""scheduling-calendar""]",,,,,
"""Vectorly""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ClassworxScheduler""","[""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""SSO for Vtiger""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""CalendarHero Webinar - Account-Level""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""TORSH Talent HS""","[""health-care"",""learning-development""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""anny""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""ClassFolios""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Scales""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Rehab Guru""","[""health-wellness""]","""Settings""","""Profile & Contact Information""",,,
"""Chatwork""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Clevermessenger""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Classpro.io""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Pentugram""","[""eCommerce""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Tribute""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Exeest""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""Lex Analytics""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Signilo for Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""MeetLock Guru""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Innform""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""MySciHub""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Natrapharm FCPE""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Breeio""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Ziotag""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Transferring-videos.com""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Apptio Cloudability SaaS - AU""","[""analytics""]","""Settings""","""Profile & Contact Information""",,,
"""Zero Gravity""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Join It Membership""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zylo""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""","""Device Information""",
"""Peoplelogic.ai""","[""analytics""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Theta Lake eComms Archive""","[""content-and-compliance"",""eCommerce""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""PowerSuite by Unify Square""","[""analytics""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""","""Device Information"""
"""NGP VAN + EveryAction Meetings""","[""crm""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Zendesk Notifications by Zoom""","[""customer-service""]","""Settings""","""Profile & Contact Information""",,,
"""Chorus For Zoom Phone""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Device Information""",,
"""Pattyrn""","[""human-resources"",""productivity""]","""Settings""","""Account Information""","""Profile & Contact Information""","""Calendars""",
"""Fuse Classroom""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Myna""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""iSpring Learn""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Spir""","[""scheduling-calendar""]","""Profile & Contact Information""",,,,
"""CLOVA Note""","[""education"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Luma Beautiful Event Pages""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Setmore Appointments""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Chatwork for Users""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Lucidspark Whiteboard""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Dont Interrupt""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Flycrew""","[""health-care"",""social-activities""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Hyperia""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""The Expert""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cafetalk""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Kundalik.Online dars""","[""education"",""learning-development""]",,,,,
"""WHOS-NEXT.COM""","[""customer-service"",""education""]",,,,,
"""EventRebels""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""zcal""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Nexudus for Administrators""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Gong App for Zoom""","[""sales-automation""]","""Content""","""Product Usage""",,,
"""Access LMS Virtual Events""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cogsworth""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IdealTraits""","[""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Talentio""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Circles""","[""productivity""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Happy Scribe""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""WhosThere""","[""analytics""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Clipchamp""","[""recording-transcriptions""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Secret Santa""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Pocket Therapist""","[""health-wellness""]",,,,,
"""Clockwise""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Jellyzone Telehealth""","[""health-care"",""health-wellness""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Northpass""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Seminal""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
